country,learners,avg_max_step,median_max_step,early_dropout_rate
MT,7,16.285714285714285,21,0
MU,16,11.0625,6.5,0.0625
MV,3,1.6666666666666667,1,0.6666666666666666
MW,10,11.5,6,0
MX,523,15.852772466539196,21,0.16061185468451242
MY,122,10.98360655737705,8,0.30327868852459017
MZ,8,14.5,15.5,0.125
NE,2,3.5,3.5,0.5
NG,579,10.316062176165802,7,0.3022452504317789
NI,2,11,11,0.5
NL,220,12.940909090909091,16.5,0.21818181818181817
NO,74,10.85135135135135,8,0.20270270270270271
NP,47,10.680851063829786,7,0.2978723404255319
NZ,70,11.971428571428572,10.5,0.22857142857142856
OM,37,10.945945945945946,9,0.21621621621621623
PA,3,11.666666666666666,10,0.3333333333333333
PE,41,9.024390243902438,5,0.2926829268292683
PG,10,12.7,14.5,0.2
PH,85,10.411764705882353,8,0.27058823529411763
PK,300,6.973333333333334,3,0.43333333333333335
PL,94,9.712765957446809,5.5,0.3829787234042553
PR,5,9.4,3,0.4
PS,27,9.11111111111111,4,0.48148148148148145
PT,65,11.353846153846154,9,0.2923076923076923
PY,4,10.75,9.5,0.5
QA,29,10.10344827586207,5,0.27586206896551724
RE,1,1,1,1
RO,89,11.629213483146067,11,0.2696629213483146
RS,40,11.15,10,0.2
RU,124,10.943548387096774,8,0.25806451612903225
RW,31,9.516129032258064,5,0.2903225806451613
SA,934,6.728051391862955,3,0.4743040685224839
SB,5,7.8,6,0.4
SD,59,6.864406779661017,3,0.423728813559322
SE,56,13.357142857142858,16,0.17857142857142858
SG,85,10.505882352941176,7,0.3411764705882353
SI,9,13.222222222222221,19,0.2222222222222222
SK,9,20.88888888888889,21,0
SL,14,9.285714285714286,4,0.2857142857142857
SN,3,6.333333333333333,6,0.3333333333333333
SO,52,7.9423076923076925,4,0.34615384615384615
SR,1,21,21,0
SS,3,13.333333333333334,16,0.3333333333333333
SV,11,11.545454545454545,9,0.2727272727272727
SX,1,23,23,0
SY,22,5.909090909090909,2.5,0.5
SZ,4,9.25,6.5,0.25
TD,1,1,1,1
TG,4,20,20,0
TH,56,11.053571428571429,8.5,0.2857142857142857
TJ,2,17,17,0
TL,2,11.5,11.5,0.5
TN,51,3.980392156862745,1,0.6078431372549019
TR,131,8.86259541984733,4,0.3893129770992366
TT,25,8.28,4,0.36
TW,20,9.25,6,0.45
TZ,73,7.068493150684931,3,0.3972602739726027
UA,156,10.346153846153847,6,0.32051282051282054
UG,51,10.03921568627451,5,0.27450980392156865
US,1062,11.732580037664784,11,0.2288135593220339
UY,4,14.75,18.5,0.25
UZ,11,8.727272727272727,4,0.45454545454545453
VC,1,23,23,0
VE,32,9.78125,6.5,0.25
VG,1,3,3,0
VN,75,6.8,4,0.4266666666666667
VU,2,7,7,0.5
WF,1,23,23,0
XK,5,3.4,4,0.4
YE,27,7.333333333333333,2,0.5185185185185185
ZA,215,11.43720930232558,11,0.2930232558139535
ZM,45,10.311111111111112,7,0.2222222222222222
ZW,43,10.44186046511628,7,0.27906976744186046
